#,;;,en,ja,ru
1,"…{ Random(0, 11) }…[i]…","Lorem ipsum dolor sit amet, ","取オキ氏給てのぱお名販り冬投夜ワ半,","Суждение последовательно. Угловое расстояние, "
2,," consectetur adipiscing elit. Fusce ut mauris sem. Fusce ipsum leo, luctus sit amet quam convallis, suscipit scelerisque dolor! Maecenas <tip=""VN"">visual novel</tip> pulvinar felis, sed aliquam est. Mauris tincidunt tincidunt sapien non dictum. In quis mauris nibh.","度えね連開えすむ脳防演ぜ投定携青稿ひーむか梯郵イどで者<tip=""VN"">ビジュアルノベル</tip>のろざり君二学ヱレ合中クミユオ属抽綱ざきに。米レツチネ必果で利83知ごず楽乗ヤケレ願全スごぴ裏3裸どひン決意表ユノ度将ウアカ子道ち告分びがスゃ内演ぼざゅわ。","  на первый взгляд, <tip=""VN"">визуальаный роман</tip> транспонирует трагический здравый смысл, хотя это явно видно на фотогpафической пластинке, полученной с помощью 1.2-метpового телескопа."
3,," Quisque ipsum eros, lacinia at lobortis vitae, semper ut ante. Sed lobortis id sapien vitae auctor. Quisque consectetur aliquet vulputate. Mauris fringilla neque non bibendum aliquet.",答サマ下清ぽーた張街どなに枚展フ子索トク騰文サヤマ背用使シルヌウ藤集ロチヤ失背へ座洗ヤルチ型枠イエス稿69那卓捨縦まんらと。," Звезда на следующий год, когда было лунное затмение и сгорел древний храм Афины в Афинах, недоступно решает непреложный натуральный логарифм. Наряду с этим газопылевое облако многопланово гасит даосизм, изменяя привычную реальность."
4,,"Praesent nec euismod ante. Sed sit amet pellentesque mauris. Sed viverra est nibh, vitae rhoncus lacus venenatis at. Mauris eget posuere urna, a dignissim nisl.",児ワトリ本務3本ドぽ開敷さえトは委2左くんみッ同切キルエヤ行愛ぐぴあ肝持砥ヘ場外をご全輝案オセ口泉節急しふかと取自七俊亮凱ざちくゆ。,"Космогоническая гипотеза Шмидта позволяет достаточно просто объяснить эту нестыковку, однако ощущение мира колеблет интеллект. Даосизм философски творит популяционный индекс, но кольца видны только при 40–66."
5,"…[i]…[spawn ShakePrinter params:,1 !wait]…[< skip!]",Mauris sit,作4振きせ治無づけ,Антропосоциология творит параметр.
18,,<br>,<br>,<br>
6,," amet lorem",次王サミ阪7企っげ真理ノユ恐3手," Суждение преобразует"
7,," sit amet nulla malesuada pulvinar.",りあぐし計言りけゅく元職ねけり伝宿もゃ甲生わべ。," экваториальный перигелий."
8,Test no-space source with spaced translation.,Quisque.,全員。,Почти каждый.
9,@print Quisque.,Quisque.,全員。,Почти каждый.
a,k: …[i]……,Ut et quam a dui imperdiet eleifend vitae eget neque.,済供際ナ社県わさ真囲イ須生備ミ京5準,"Адживика, как принято считать, порождена временем."
b,," Vestibulum sollicitudin et tortor sed dignissim.",ネユホ刺三進ょ浜共エサヘ要万ヨムスサ分岡じ言重著菱ラロ農生," Ощущение мира точно притягивает сложный зенит, отрицая очевидное."
c,,"<br><br>Aliquam sit amet <tip=""Lorenz"">Lorenz</tip> sollicitudin, fringilla dui ac, imperdiet elit.","<br><br>よな触努ゆづげさ<tip=""Lorenz"">ローレンツ方程式</tip>び。","<br><br>После того как тема сформулирована, <tip=""Lorenz"">Закон Лоренца</tip> оценивает трагический реликтовый ледник."
d,"@print ""Donec ut libero rutrum, \""porta tortor\"" ut, volutpat nulla."" speed:0.5 !default","Donec ut libero rutrum, ""porta tortor"" ut, volutpat nulla.",側チ輸富ハ鉄青フ堂購ソホ権文「ぞゅゆょ収港」すなおで問9断まりつ詐経ざ一,"Закон исключённого третьего ""перечеркивает"" центральный позитивизм."
e,"@print ""\{ { Random(0, 10) } \}""","{ ",{,"{ "
f,," }",}," }"
10,"@toast ""Lorem ipsum"" time:1",Lorem ipsum,遺物氷河,Реликтовый ледник
11,"@choice ""Test choice"" pos:10,50",Test choice,速らな設,Тестовый выбор
12,y.Default: …,"Donec ligula nulla, pulvinar a ex suscipit, gravida vulputate orci. Maecenas suscipit nisl vel nibh volutpat varius. Vestibulum turpis sapien, fermentum in tempor in, venenatis vel sapien.",話声コ真禁選またでば車地ょにべ学裏モヒヘ量併ろてう江供ユネスナ止人エケラナ下月京ど新84郷たリ秘最ヲラレ刊行ほひ風国つみしろ馬証ウテ皇馬るぶ。,"Страсть ищет гравитационный парадокс. Юлианская дата наблюдаема. Восход , по определению, представляет собой эллиптический предмет деятельности, изменяя привычную реальность."
13,…{t_Foo}…,"Value of t_Foo: ",t_Fooの値：,"Значение t_Foo: "
14,,", value of t_Bar: ",巴t_Barの値：,", значениеf t_Bar: "
15,,.,。," ."
16,,Untranslated generic line.,,
17,"@print ""Untranslated command line.""",Untranslated command line.,,
